topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.07,0.051,0.036,0.034,0.026,0.017,0.015,0.015,0.014,0.013,0.012,0.012,0.012,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic87,share,list,oslo,oslo_stock_exchang,investor,capit,trade,sharehold,rais,offer,ipo,share_pric,announc,stock_exchang,worth,stock,total,private_plac,nok,approxim,cap,merkur_market,public_off,option,initi,public,exist,intend,proce,exchang,largest,hold,feb,board,oversubscrib,purchas,issu,euronext,alloc,jan,outstand,publicli,bought,placement,bor,transact,nov,valu,commit,farmer,success,book,buy,subscrib,close,equiti,correspond,advis,began,stake,chairman,discount,stockwatch,interest,purpos,partial,ordinari,subscript,cornerston,bookbuild,liquid,parent_compani,merkur,respect,asa,corpor,pre,repres,attract,complet,marketplac,sole,fund,engag,aug,divid,pareto_secur,secondari,pension,ticker,dual,notc,cet,recent,primari,debut,bookrunn,discret,bør,aggreg
 ,0.192,0.088,0.038,0.029,0.028,0.028,0.026,0.024,0.023,0.023,0.021,0.016,0.016,0.015,0.013,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic88,figur,show,rate,farmed_salmon,data,watch,metric_ton,account,number,list,kontali,publish,rank,red,releas,top,good,updat,level,survey,yellow,much,farmer,chang,recommend,major,analysi,recent,light,perform,half,altern,verlasso,present,reflect,lowest,ahead,overal,calcul,highest,biggest,statist,remain,indic,firm,bay,behind,winner,monterey,third,rest,avoid,ton,latest,worst,first_tim,aquarium,green,monthli,among,ngo,collect,compil,overview,inform,zone,critic,score,highlight,differ,domin,nation,traffic,western,upward,basi,nystoyl,equival,analyz,except,conclus,individu,return,wild_salmon,longer,analys,oceana,deviat,ragnar,accur,cut,estim,carri,farmed_salmon_product,upgrad,salmon_produc,almost,annual,optimist,stand
 ,0.046,0.045,0.036,0.032,0.022,0.021,0.021,0.02,0.02,0.017,0.016,0.016,0.016,0.016,0.015,0.014,0.013,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic89,technolog,data,use,solut,digit,provid,innov,effici,qualiti,optim,help,improv,milarex,focu,monitor,system,tech,aim,custom,creat,sustain,autom,chang,world,deliv,sever,traceabl,aquaculture_industri,value_chain,intellig,enabl,advanc,polish,machin,better,transform,softwar,implement,track,welfar,resourc,real,summa,sensor,excit,aqua,behavior,ai,artifici,salmon_process,vision,found,equip,exampl,tool,camera,fad,automat,labor,solv,degre,malek,underwat,imag,robot,integr,inform,poland,within,intens,need,edg,analysi,nofitech,learn,platform,abl,control,experi,morpol,perfect,analyt,entir,etc,manual,evolv,cageey,function,processor,ecosystem,farstad,maxim,futur,map,behind,aggreg,alibaba,journey,gain,becom
 ,0.078,0.026,0.023,0.023,0.022,0.022,0.02,0.014,0.014,0.013,0.013,0.013,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic90,mowi,divis,world,ireland,aarskog,global,largest,helg,giant_mowi,part,vindheim,post,scotland,organ,salmon_produc,canada,alf,america,staff,across,despit,irish,recent,faro,ad,giant,ceo_ivan_vindheim,record,present,cut,western,norwegian_salmon_farm,coo,salmon_gi,ola,robert,strategi,initi,fail,fellow,structur,hjetland,address,lay,canadian,fierc,bantri,hadfield,salmon_giant_mowi,gjerd,ivan,issu,took,stand,norwegian_salmon_giant_mowi,exercis,impress,guidanc,ben,decid,oaland,downstream,publicli,oyvind,benefit,blar,full,feenstra,program,may,roar,restructur,yet,worldwid,mhor,effort,within,commun,brattvol,almost,alab,variou,dividend,eivind,catarina,mcmanu,bolstad,last_month,evoy,naevdal,start,save,fort,consum,toward,wake,william,kritsen,becam,given
 ,0.296,0.026,0.023,0.022,0.021,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic91,largest,world,list,execut,among,top,famili,invest,owner,addit,hold,place,trump,firm,sever,salari,run,gener,pay,dn,paid,took,real,billion,seafood_compani,highest,chairman,ferd,fortun,mine,presid,found,hous,administr,stake,held,intrafish_sister_publ,control,annual,estat,home,elect,co,billionair,richest,via,incom,fredriksen,pebbl,donald,son,seafood_sector,worth,recent,pocket,almost,today,hand,side,valuabl,third,forb,rank,notabl,far,walk,becam,ole,live,turn,andresen,half,privat,mogster,serv,daughter,power,eirik,johan,massiv,dagen,sister,bonus,biden,vice,nearli,gaia,pull,former,jr,vari,last_year,deeper,root,bonu,earlier,drive,youngest,return,mogul
 ,0.046,0.032,0.03,0.029,0.027,0.021,0.02,0.02,0.019,0.018,0.016,0.016,0.015,0.015,0.015,0.015,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic92,busi,strategi,opportun,look,focu,grow,invest,focus,strong,establish,posit,strateg,futur,expand,activ,term,platform,forward,build,provid,potenti,strengthen,presenc,exist,support,partner,team,best,expans,success,organ,enter,partnership,confid,bring,signific,custom,togeth,model,proven,diversif,portfolio,within,fit,scale,relationship,specif,servic,capabl,local,step,intern,qualiti,track,effici,experi,infrastructur,seek,help,geograph,core,pursu,expertis,ambit,enabl,path,ahead,consist,area,identifi,rapid,care,abl,channel,integr,acceler,addit,leverag,aggress,north_america,abil,alreadi,excel,part,strength,flexibl,add,premium,profil,intent,prioriti,excit,highli,boost,key,broader,complement,exit,access,allow
 ,0.053,0.046,0.036,0.031,0.029,0.023,0.021,0.021,0.02,0.019,0.018,0.017,0.017,0.017,0.016,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic93,peopl,chang,young,name,busi,help,women,team,opportun,job,leader,role,bring,move,creat,success,life,behind,away,commun,leadership,career,give,support,equal,attract,eight,skill,person,intern,mean,drive,showalt,divers,famili,passion,kind,cultur,talent,educ,incred,alway,lead,love,multi,employ,thank,recruit,great,realiz,uniqu,inspir,mathisen,wide,found,later,seafood_industri,togeth,chuck,profession,led,known,decad,gender,colleagu,men,train,home,sealaska,came,impress,friend,rebrand,orca,davi,engag,staff,balanc,leav,becam,across,quickli,exampl,proud,path,respons,win,fifti,advic,shape,purpos,rare,corpor,embrac,respect,mission,lion,differ,school,resourc
 ,0.046,0.033,0.03,0.029,0.026,0.019,0.017,0.016,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic94,cook,state,cooke_aquacultur,washington,pen,atlantic_salmon,net,island,washington_st,leas,water,nativ,public,sound,depart,wild,permit,bill,ban,nova_scotia,trout,approv,puget,conserv,natur,collaps,allow,non,richardson,atlantic_salmon_farm,pacif,pass,cypress,wild_salmon,resourc,tribe,netpen,wildlif,thousand,offici,renew,steelhead,releas,agenc,stock,comment,marin,exist,legisl,rais,escap,hope,option,joel,legislatur,news,vote,requir,popul,violat,near,expir,concern,hous,bay,senat,singl,august,fish_farm,last,review,termin,broke,wdfw,ngo,ecolog,lawmak,department_of_fish,kelli,protect,clean,speci,qualiti,cove,phase,northwest,ad,scienc,black,rainbow,dnr,hundr,propos,remain,governor,fail,seattl,icicl,pollut,patagonia
 ,0.082,0.048,0.029,0.028,0.027,0.021,0.016,0.015,0.014,0.014,0.014,0.013,0.013,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic95,valu,ad,largest,worth,total,signific,term,sell,volum,significantli,part,addit,posit,competit,repres,combin,half,six,key,main,creat,major,particular,especi,reflect,throughout,reason,heavili,fact,fourth,doubl,roughli,account,huge,highli,speci,larg,last,lead,almost,past,shown,benefit,add,primarili,sold,encourag,isfjord,turn,better,financi,break,spite,remain,market_shar,late,brought,same_tim,boost,form,went,driver,saw,re,trend,reap,whole,value_chain,therefor,competitor,finish,modest,toward,primari,race,segment,counterpart,equal,singl,exponenti,next,despit,shift,exceed,last_year,whop,reach,impress,good,heavi,number,rest,across,struggl,artha,massiv,prompt,push,crowd,multipl
 ,0.246,0.111,0.029,0.028,0.024,0.022,0.021,0.02,0.018,0.018,0.017,0.016,0.016,0.015,0.014,0.014,0.014,0.014,0.012,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic96,major,may,note,though,far,sever,end,move,away,recent,past,point,clear,number,small,push,brought,biggest,given,turn,among,massiv,quickli,earli,appear,shift,whose,either,much,part,particular,came,unclear,taken,dramat,fear,approach,outsid,nearli,without,similar,side,stand,draw,late,view,multipl,face,near,enough,card,gain,abil,threat,last_week,promis,kind,six,typic,alreadi,globe,shown,quick,comparison,pull,signal,rush,gone,winner,ad,prompt,tend,larg,unlik,fact,correct,increasingli,overwhelm,expens,last_month,lead,alon,dollar,path,publicli,almost,none,roughli,caution,held,execut,cite,lofsgaard,kept,went,matter,divid,begun,mix,exampl
 ,0.051,0.049,0.034,0.034,0.026,0.022,0.022,0.02,0.02,0.019,0.017,0.015,0.014,0.014,0.014,0.013,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic97,shrimp,speci,hofseth,tilapia,asia,intern,ecuador,grow,countri,focu,united_st,vietnam,pangasiu,thailand,biocar,import,india,biggest,thai,barramundi,europ,distribut,africa,coldwat,diseas,singapor,vietnames,asian,america,last,trend,hbc,indonesia,biotech,firm,southeast,partnership,potenti,few_year,middl,china,red,villalon,sold,indian,farmer,warmwat,von,latin,scholten,roger,consumpt,domin,wild,took,life,distributor,collabor,ecuadorian,permira,grouper,pond,patient,allianc,biotechnolog,us_market,look,malaysia,domest,ink,soon,grobest,hanson,minh,philippin,clinic,vinh,colombia,labor,finish,hoan,phu,em,enter,set,garden,nordquist,room,ramp,closer,health,expand,consult,black,snapper,west,behind,focus,fast,jose
 ,0.131,0.039,0.027,0.024,0.024,0.018,0.015,0.015,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic98,sea,believ,gener,good,must,alreadi,today,set,possibl,place,variou,consid,someth,nova,point,present,cooper,experi,mean,yet,futur,reason,great,similar,far,import,addit,taken,number,along,fjord,therefor,look,want,natur,director,thu,readi,advantag,extens,hand,involv,known,lie,cheaper,robust,enter,opinion,road,regard,everyth,although,refer,feedback,closer,lead,underway,larg,molvik,geir,faith,shorter,directli,main,last,gone,same_tim,run,necessari,concentr,side,access,becom,norwegian_aquaculture_industri,almost,doubl,establish,done,resourc,sever,huge,special,basi,form,consider,use,statu,without,bigger,limit,enorm,greater,appli,contribut,competit,suitabl,norg,unrealist,qualiti,farmer
 ,0.147,0.04,0.035,0.034,0.033,0.022,0.022,0.02,0.018,0.015,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic99,food,protein,kvaroy,plant,whole,meat,united_st,arctic,giant,beef,look,recent,beyond,altern,pork,move,knutsen,fast,poultri,space,gain,norwegian_salmon_farm,famili,startup,huge,option,scale,chicken,dog,avail,valley,stage,becom,partnership,supply_chain,fargo,access,join,trust,dairi,jame,circl,print,vegan,fortun,tri,blockchain,break,chees,experi,fair,acceler,thank,tyson,embrac,foundat,ibm,silicon,alf,tech,fiskeoppdrett,terrestri,network,amazon,thompson,mind,hook,ag,scholarship,goran,hot,tradit,agricultur,burger,american,seafarm,disrupt,michael,healthi,expos,seafood_industri,cattl,north_america,histor,true,chicago,traceabl,dombrowski,radar,becam,western,next,swine,richard,lenz,anim,beard,milk,chef,uniqu
 ,0.127,0.038,0.027,0.025,0.021,0.02,0.019,0.017,0.016,0.014,0.013,0.013,0.013,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
